fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,12,HARYANA,1203,KURUKSHETRA,398860,377.7637882,30,11,382.8711244,453,68,1101,327936,114332,20163,0,0,68.18137,1689.875951,10801,14643,24181,53506,37,64404,123112,1554,1238.823457,221708,10,65.45,13.42,102.22,NA
2024-2025,Dec,12,HARYANA,1207,SONIPAT,369388,406.0692767,32,8,227.6419057,289,99,472,235323,118035,12791,0,0,58.87429,1242.0906,7274,9469,15428,25152,16,45291,66328,761,955.5744041,144030,8,76.57,11.61,100.91,NA
2024-2025,Dec,12,HARYANA,1210,GURUGRAM,56290,376.3168906,43,0,80.7804735,102,95,120,39692,21059,2117,0,0,23.94277,254.0909437,906,967,3231,4151,6,14304,18482,222,149.3677002,28323,0,45.38,2.38,100,NA
2024-2025,Dec,12,HARYANA,1212,MAHENDRAGARH,291010,418.1141005,25,0,357.1832077,748,101,861,125175,30232,8740,0,0,61.26926,941.826793,4885,6021,17651,28373,2,65829,92524,1609,523.3743253,61441,10,35.15,19.93,106.34,NA
2024-2025,Dec,12,HARYANA,1204,KAITHAL,590570,439.0602741,18,59,81.4011954,885,33,1191,372477,165509,37663,0,0,67.57633,1784.376063,20679,26636,37748,77879,0,68883,127073,2076,1635.398537,269811,35,90.52,3.42,108.22,NA
2024-2025,Dec,12,HARYANA,1211,REWARI,92450,400.1061404,22,0,151.4804343,205,204,336,53127,33582,9088,0,0,45.53666,409.5814835,2322,2800,7824,14535,1,40487,77658,541,212.5643892,39967,6,75.06,9.5,106.69,NA
2024-2025,Dec,12,HARYANA,1220,JHAJJAR,294850,373.9786121,33,1,99.03267489,328,64,438,186367,92088,14967,0,0,53.36145,849.3668449,5585,6702,16393,29185,9,64205,107452,766,696.97272,110412,13,78.11,20.84,99.97,NA
2024-2025,Dec,12,HARYANA,1222,CHARKI DADRI,98400,392.9730064,24,12,57.2858676,218,59,401,68580,33137,7326,0,0,23.87038,350.6571354,2752,3391,9472,16964,0,30884,53635,619,269.5008878,42026,1,97.73,0.2,103.31,NA
2024-2025,Nov,12,HARYANA,1206,PANIPAT,368550,358.0636204,33,6,426.137046,502,22,495,257173,126221,16651,0,0,54.9592,1401.939201,7737,10178,18260,34287,23,41567,69971,997,920.8429545,164010,13,60.56,11.35,101.01,NA
2024-2025,Nov,12,HARYANA,1207,SONIPAT,335938,412.9805155,28,6,227.6419057,252,106,495,192070,95474,12652,0,0,58.87429,1079.727872,6688,8642,15251,24859,9,44909,65795,747,793.2116761,117263,12,73.1,12.98,100.82,NA
2024-2025,Nov,12,HARYANA,1215,HISAR,1371610,413.4622081,25,42,3134.357007,2738,5,2741,1281573,707173,86355,0,0,110.34938,8543.526411,50025,69461,71895,153521,39,121613,241122,5479,5298.820024,832187,6,52.27,13.82,100.51,NA
2024-2025,Nov,12,HARYANA,1202,YAMUNANAGAR,200100,404.6957346,30,0,210.0222139,527,142,431,86942,24416,9575,0,0,42.21852,604.0912995,2872,3731,13621,24506,4,47745,76314,958,351.8505656,29487,31,56.29,18.35,100.38,NA
2024-2025,Nov,12,HARYANA,1207,SONIPAT,335938,411.6866181,29,6,227.6419057,262,103,493,195823,97325,12667,0,0,58.87429,1092.693282,6732,8703,15269,24891,8,44950,65860,755,806.1770861,119780,12,73.46,12.85,100.78,NA
2024-2025,Nov,12,HARYANA,1216,SIRSA,698550,475.861257,14,66,969.7191106,2012,32,2444,422551,259750,86208,0,0,77.63424,3058.109851,29157,40266,58760,136104,0,124221,265830,4456,2010.7565,260583,21,71.08,4.22,141.37,NA
2024-2025,Nov,12,HARYANA,1203,KURUKSHETRA,376060,378.8594289,30,10,382.8711244,438,74,1175,310911,107603,20058,0,0,67.21137,1627.998133,10320,14012,24073,53280,33,64117,122678,1613,1177.915639,210085,15,67.39,12.29,102.33,NA
2024-2025,Nov,12,HARYANA,1213,BHIWANI,444150,387.2089938,23,22,406.581009,1012,48,1473,419827,221749,42576,0,0,58.45441,2090.643321,17751,23238,37438,79443,1,86920,169537,2485,1625.607902,267010,2,66.67,11.67,112.28,NA
2024-2025,Nov,12,HARYANA,1218,FATEHABAD,1091005,403.4748954,23,62,3087.044028,2547,2,3988,940400,556718,84122,0,0,116.64818,6997.970124,40801,62639,62201,135303,19,76096,157397,6535,3794.277917,582213,11,62.38,10.95,105.09,NA
2024-2025,Nov,12,HARYANA,1222,CHARKI DADRI,91900,395.0669992,22,11,57.2858676,207,60,406,61416,28970,7316,0,0,23.87038,323.7905958,2687,3316,9457,16938,0,30843,53564,613,242.6343482,37049,1,97.46,0.23,103.72,NA
2024-2025,July,12,HARYANA,1211,REWARI,57080,438.8203681,17,0,0.62806,6,297,533,23309,14807,8642,0,0,17.27762,120.1903196,1352,1596,7487,13878,0,40182,77230,539,102.2846396,17549,6,83.68,8.11,107.33,NA
2024-2025,July,12,HARYANA,1221,PALWAL,38935,497.7318308,24,1,0,3,232,964,34941,2011,2118,0,0,3.71226,177.624739,1407,1728,10713,14899,1,39137,53510,967,173.912479,14502,30,35.4,4.78,150.82,NA
2024-2025,July,12,HARYANA,1209,FARIDABAD,35600,249.6765779,22,0,0,6,82,79,9047,1746,869,0,0,7.64047,30.22871,403,480,2726,3187,1,7719,8427,85,22.58824,3939,2,56.58,18.35,120.91,NA
2024-2025,July,12,HARYANA,1210,GURUGRAM,31450,371.5478345,34,0,78.0384935,60,102,136,20979,10412,1979,0,0,4.50799,160.4935037,601,648,3044,3904,0,14129,18298,196,77.9470202,14775,0,42.15,0,99.94,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,495.0351393,20,0,310.5241749,455,180,918,50234,11757,8338,0,0,22.59282,581.7929468,2450,2947,16785,27100,0,65331,91869,1373,248.6759519,24973,12,41.26,23.31,113.24,NA
2024-2025,July,12,HARYANA,1222,CHARKI DADRI,49200,399.7033332,16,11,55.8410924,65,70,523,38392,18308,7242,0,0,13.08379,222.3789861,2313,2838,9365,16769,0,30738,53418,588,153.4541037,23594,1,95.92,0.37,102.74,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,370.6099921,15,1,2.6381695,188,246,469,30254,18958,9990,0,0,22.5165,137.2790165,1991,2258,10185,16503,0,37476,52397,657,112.124347,18747,34,49.05,35.54,99.86,NA
2024-2025,Aug,12,HARYANA,1209,FARIDABAD,39850,280.2123998,27,0,0,6,77,81,11855,1756,862,0,0,7.64047,40.85965,431,505,2730,3195,1,7729,8445,87,33.21918,5077,2,56.57,14.2,119.79,NA
2024-2025,Aug,12,HARYANA,1210,GURUGRAM,37250,371.6968935,37,0,78.0384935,92,100,112,24394,12479,1991,0,0,4.50799,173.2182237,647,698,3059,3926,0,14170,18343,204,90.6717402,17335,0,41.55,0.07,99.96,NA
2024-2025,Aug,12,HARYANA,1215,HISAR,833465,427.7332542,19,79,2690.371819,1524,18,3410,870352,489091,85384,0,0,68.23607,6481.392822,43699,59415,70699,151309,2,120944,239965,4934,3722.784933,565956,6,49.69,15.54,100.41,NA
2024-2025,Aug,12,HARYANA,1203,KURUKSHETRA,315910,370.85527,27,8,126.1741399,216,128,1261,252077,86650,19861,0,0,32.15929,1093.174269,9164,12381,23807,52695,7,63906,122291,1477,934.8408389,171616,16,73.29,9.11,101.3,NA
2024-2025,Aug,12,HARYANA,1205,KARNAL,555970,362.5343783,23,21,60.88337528,442,152,1260,378599,194682,52466,0,0,33.49902,1466.933926,16319,21695,45449,93883,0,91957,167467,1702,1372.551531,253312,19,87.17,6.64,123.9,NA
2024-2025,Aug,12,HARYANA,1206,PANIPAT,293125,352.2197904,25,4,355.236425,336,31,522,176977,88402,16822,0,0,29.52667,1008.111114,6832,8852,18373,34779,0,42481,71824,858,623.3480185,114966,14,58.42,13.06,101.5,NA
2024-2025,Aug,12,HARYANA,1209,FARIDABAD,39850,307.8311662,23,0,0,6,78,79,9998,1602,862,0,0,7.64047,38.41743,425,499,2730,3195,1,7729,8445,85,30.77696,4111,2,58.09,16.51,122.55,NA
